id,darija,eng,darija_ar
28,bghat tb9a bouhdha bach tfkar brahtha,She wanted to be alone to think for herself.,بغات تبقا بوهدها باش تفكار براهتها
29,khoutha hayrin kaytsnaw imta iwsl lghd,"her siblings are confused ,they are waiting for tomorrow to arrive",خوتها هايرين كايتسناو إمتا إوسل لغد
30,houma may9drouch i3ichou bla biha,They can't live without her.,هوما مايقدروش إعيشو بلا بيها
31,hiya ghatdi m3aha khouha lmoutawahid ldar,She will take her autistic brother with her to the house.,هييا غاتدي معاها خوها لموتاواهيد لدار
32,khouha kan hawal intahar,Her brother tried to commit suicide.,خوها كان هاوال إنتاهار
33,galiha khaski twjdi rask,He told her that she needs to prepare herself,ڭاليها خاسكي توجدي راسك
34,houma ghaymchiw idirou ijtima3,They will go to hold a meeting,هوما غايمشيو إديرو إجتيماع
35,3andou mohakama lyouma,He has a trial today,عاندو موهاكاما ليوما
36,ghayhakmou 3lih bsijn lmouaabad,They will sentence him to life imprisonment,غايهاكمو عليه بسيجن لمواباد
37,maghaydkhlch lhabs hit 3ta rachwa,He won't enter prison because he gave a bribe,ماغايدخلش لهابس هيت عتا راشوا
38,khraj mn lhabs ou9tlou chi wahad,He got out of prison and someone killed him,خراج من لهابس وقتلو شي واهاد
39,hta wahad ma3araf chkoun li9tlou,No one knows who killed him.,هتا واهاد ماعاراف شكون ليقتلو
40,houwa mojrih oukaystaha9 imout,He is a criminal and deserves to die.,هووا موجريه وكايستاهاق إموت
41,mratou katfakar tnta9am,,مراتو كاتفاكار تنتاقام
42,bghat tnta9am mn li9tlou rajlha,,بغات تنتاقام من ليقتلو راجلها
43,ghadir kolchi bach thakak dakchi libghat,,غادير كولشي باش تهاكاك داكشي ليبغات
44,lbolici khtatf lbnt,,لبوليسي ختاتف لبنت
45,bgha idiha tchouf khtha,,بغا إديها تشوف ختها
46,khtha mrida bzaf,,ختها مريدا بزاف
47,3andha chalal nisfi,,عاندها شالال نيسفي
48,mab9atch ghat9dar tmcha,,مابقاتش غاتقدار تمشا
49,hyatha kamla ghatb9a na3sa flfrach,,هياتها كاملا غاتبقا ناعسا فلفراش
50,khtatfha mn dar bla maychouf hta wahd,,ختاتفها من دار بلا مايشوف هتا واهد
51,daha ldar bach tb9a m3a khtha,,داها لدار باش تبقا معا ختها
52,galt lbabaha bli bghathom kamlin ib9aw bjanbha,,ڭالت لباباها بلي بغاتهوم كاملين إبقاو بجانبها
53,hiya mabghatch tkhsar hta wahad fihom,,هييا مابغاتش تخسار هتا واهاد فيهوم
54,khasinha lflous bach dir 3amaliya lkhtha,,خاسينها لفلوس باش دير عامالييا لختها
55,houma may9droch idiroha hit fo9ara2,,هوما مايقدروش إديروها هيت فوقاراء
56,houwa ghaydir 3amaliya lkhtha,,هووا غايدير عامالييا لختها
57,mn ba3d l3amaliya ghatwli tmchaa,,من باعد لعامالييا غاتولي تمشا
58,houwa may9darch irfad liha talab,,هووا مايقدارش إرفاد ليها تالاب
59,ma9adarch ikhsrha mn ba3d matlakaha,,ماقادارش إخسرها من باعد ماتلاكاها
60,lwalida dialou dkhlat lhabs,,لواليدا ديالو دخلات لهابس
61,hiya likant hzat lbnt mn lbit dmha,,هييا ليكانت هزات لبنت من لبيت دمها
62,dkhlat lhmam bach tghsal whha,,دخلات لهمام باش تغسال وهها
63,dkhlat 3liha wahd lhabasa bghat t9tlha,,دخلات عليها واهد لهاباسا بغات تقتلها
64,mo matat fl habs bla maychofha hta wahad,,مو ماتات فل هابس بلا مايشوفها هتا واهاد
65,chirir sift chi wahad i9tlha flhabs,,شيرير سيفت شي واهاد إقتلها فلهابس
66,houwa mazal ma3raf bli mo matat,,هووا مازال ماعراف بلي مو ماتات
67,ila sma3 lkhbar maghadich i9dar isbar,,إلا سماع لخبار ماغاديش إقدار إسبار
68,sift sahbo i9alab lih 3la lkhatam,,سيفت ساهبو إقالاب ليه علا لخاتام
69,houwa baghi itzawaj biha,,هووا باغي إتزاواج بيها
70,bat lbnt maghadich i9bal bih,,بات لبنت ماغاديش إقبال بيه
71,houwa fa9ir hiya ghaniya,,هووا فاقير هييا غانييا
72,maghadich irda khedam 3andou itzawaj b bntou,,ماغاديش إردا خدام عاندو إتزاواج ب بنتو
73,houwa 3rf bli mo matat ma9darch ithamal,,هووا عرف بلي مو ماتات ماقدارش إتهامال
74,ghanmchi ndowach 3and jirana,,غانمشي ندوواش عاند جيرانا
75,t9ata3 lma 3la dowar kamal,,تقاتاع لما علا دووار كامال
76,hchamt nmchi ndowach 3andhoum,,هشامت نمشي ندوواش عاندهوم
77,tdwach zwin ikoun fsbah,,تدواش زوين إكون فسباه
78,tdwach bzzef kaydir tasa9ot cha3r,,تدواش بزّف كايدير تاساقوت شاعر
79,dart za3tar lcha3ri bach maytih,,دارت زاعتار لشاعري باش مايتيه
80,3lach kadiri l3choub lrasak,,علاش كاديري لعشوب لراساك
81,3mtha khdat lbnt mn lirbawha,,عمتها خدات لبنت من ليرباوها
82,kanou mhliyin fiha bhal 3ailtha,,كانو مهلييين فيها بهال عايلتها
83,makhasha hta haja m3ahoum,,ماخاسها هتا حاجة معاهوم
84,tzwji u yrj3 lmamak flos li khsrti,,تزوجي و يرجع لماماك فلوس لي خسرتي
85,lwld rabih bhal wldk,,لولد رابيه بهال ولدك
86,t3amli mzyan ra 3ndk ajer,,تعاملي مزيان را عندك أجر
87,siri nti ghadori fiha,,سيري نتي غادوري فيها
88,9bl matfkri tkhtari bin zwaj o bin lflous,,قبل ماتفكري تختاري بين زواج أُ بين لفلوس
89,chufi had rajl ta3amol dylo kidayr,,شوفي هاد راجل تاعامول ديلو كيداير
90,houwa makaykhasarch liha,,هووا ماكايخاسارش ليها
91,reh zwaj hada machi l3b drari,,ره زواج هادا ماشي لعب دراري
92,ana jatni wahd lforsa nmchi 3la bra,,أنا جاتني واهد لفورسا نمشي علا برا
93,ana 3andi iltizamat fhad lblad,,أنا عاندي إلتيزامات فهاد لبلاد
94,khdit cridiyat mn lbanca,,خديت كريدييات من لبانكا
95,bghit ndir ma2wa ldrari limtchardin,,بغيت ندير ماءوا لدراري ليمتشاردين
96,hatit fiha tqriban kol flosi,,هاتيت فيها تقريبان كول فلوسي
97,ja wahd siyed baghi khtebni,,جا واهد سييد باغي ختبني
98,knt kn3arfo ch7al hada howa 3aych fbra,,كنت كنعارفو شحال هادا هووا عايش فبرا
99,gali bli y3tini ga3 flous li khsert,,ڭالي بلي يعتيني ڭاع فلوس لي خسرت
100,baghi tzwj biya dwa m3a mama,,باغي تزوج بييا دوا معا ماما
101,howa ando wliyed mn marto lowla,,هووا أندو ولييد من مارتو لوولا
102,dek deri ana nrbih,,دك دري أنا نربيه
103,mchat khlat lih deri fdar,,مشات خلات ليه دري فدار
104,howa galia kayb9a flblad,,هووا ڭاليا كايبقا فلبلاد
105,gali nmchi ndf3 lik wraq bch khrjo lik,,ڭالي نمشي ندفع ليك وراق بش خرجو ليك
106,howa ghayhmaq elia,,هووا غايهماق إليا
107,galia flous ghanrdhom lik,,ڭاليا فلوس غانردهوم ليك
108,nhar khotba njib liha chic,,نهار خوتبا نجيب ليها شيك
109,kitlob fia ana ma3rft achghanndir,,كيتلوب فيا أنا ماعرفت أشغانّدير
110,ana 7ayra fhad lmawdo3,,أنا حايرا فهاد لماودوع
111,wech nkhtar nmchi lbra wla nkhtar siyed,,وش نختار نمشي لبرا ولا نختار سييد
112,ahsan tajriba dwazt hya dyal l ista,,أهسان تاجريبا دوازت هيا ديال ل إستا
113,hya li t3lamt fiha o fhamt,,هيا لي تعلامت فيها أُ فهامت
114,nta o jahdk o kat9atl hit mkhlas,,نتا أُ جاهدك أُ كاتقاتل هيت مخلاس
115,ila maknti sbar matkmalch,,إلا ماكنتي سبار ماتكمالش
116,khti rah hna knt3dbo,,ختي راه هنا كنتعدبو
117,kn9raw kol nhar lyouma sebt o 9arin,,كنقراو كول نهار ليوما سبت أُ قارين
118,kayjib lik khedma b khlas na9es,,كايجيب ليك خدما ب خلاس ناقس
119,ma9arish fiha hua li kay7gerha,,ماقاريسه فيها هوا لي كايحڭرها
120,mchat l3aama ll9br bach t3awd liha,,مشات لعاما اللقبر باش تعاود ليها
121,hsat bli houma likanou khtfou lbnt,,هسات بلي هوما ليكانو ختفو لبنت
122,rah khsk tjibi no9ta mzyana flbak,,راه خسك تجيبي نوقتا مزيانا فلباك
123,nas jabo no9ta flbak omkyt9bloch fiha,,ناس جابو نوقتا فلباك أُمكيتقبلوش فيها
124,maymknch t9arni liya joj hwayj,,مايمكنش تقارني لييا جوج حوايج
125,wlina b7al l mouss madin,,ولينا بحال ل موسّ مادين
126,ila braha yji andha l mdintha,,إلا براها يجي أندها ل مدينتها
127,hia madeplaca 3la wad hed,,هيا مادپلاكا علا واد هد
128,howa ja okharjat 3ando,,هووا جا أُخارجات عاندو
129,tzewji li kaybghik bssah,,تزوجي لي كايبغيك بسّاه
130,diima kaydir lik hssab okaykhaf t9el9i,,ديّما كايدير ليك هسّاب أُكايخاف تقلقي
131,khayaf chi haja derenjik,,خاياف شي حاجة درنجيك
132,tzwji zwaj zwin gher t3rfi m3amen,,تزوجي زواج زوين غر تعرفي معامن
133,dima tkon 3ndk chakhsiya 9wiya,,ديما تكون عندك شاخسييا قوييا
134,momkin che hed iyakhod mnha haja,,مومكين ش هد إياخود منها حاجة
135,la matrj3ch lik flosk,,لا ماترجعش ليك فلوسك
136,khashoum i3arfou fin mchat,,خاسهوم إعارفو فين مشات
137,houma khashoum ichofo lcamirat,,هوما خاسهوم إشوفو لكاميرات
138,ghayshofo fin dazet bash yraj3o kolchi,,غايسهوفو فين دازت باسه يراجعو كولشي
139,houma chfrou lbanca bla may3raf hta hed,,هوما شفرو لبانكا بلا مايعراف هتا هد
140,dkhlou ouhouma dayrin mask,,دخلو وهوما دايرين ماسك
141,lahou mousayil domo3 flbanca,,لاهو موساييل دوموع فلبانكا
142,mnin 3refti rah telfat lik,,منين عرفتي راه تلفات ليك
143,matla9aw hta sabab likhlihoum isr9o,,ماتلاقاو هتا ساباب ليخليهوم إسرقو
144,houma walidihoum labas 3lihoum,,هوما واليديهوم لاباس عليهوم
145,mwafrin lwlashoum kolchi,,موافرين لولاسهوم كولشي
146,dar 3amra khedama,,دار عامرا خداما
147,achnou likhlihom ichfrou bla khawf,,أشنو ليخليهوم إشفرو بلا خاوف
148,houma rah 3isaba,,هوما راه عيسابا
149,sahbhoum khatir fti9niyat,,ساهبهوم خاتير فتيقنييات
150,mabghach islm mo lbolic,,مابغاش إسلم مو لبوليك
151,ma9drch ifrt fiha,,ماقدرش إفرت فيها
152,rahom khtbohom mohandisin,,راهوم ختبوهوم موهانديسين
153,ma galso m3ahom hta chhar harbo,,ما ڭالسو معاهوم هتا شهار هاربو
154,b9at f l3achra ousbar,,بقات ف لعاشرا وسبار
155,wach ntoma mzawjin ?,,واش نتوما مزاوجين ?
156,diro 3aila tkon mhtarma,,ديرو عايلا تكون مهتارما
157,ghaat9raw fdar mn ghda,,غاتقراو فدار من غدا
158,ila makanch ma9arich machi mouchkil,,إلا ماكانش ماقاريش ماشي موشكيل
159,houwa wa3i oukay3raf ihdar,,هووا واعي وكايعراف إهدار
160,bzaf dnas kaukono 9aryin bdon wa3y,,بزاف دناس كوكونو قاريين بدون واعي
161,kanti katchofi fih chofa na9sa,,كانتي كاتشوفي فيه شوفا ناقسا
162,ghi ba3di mno mayslahch lik,,غي باعدي منو مايسلاهش ليك
163,ila ditih khaski tkoni m9tan3aa bih,,إلا ديتيه خاسكي تكوني مقتانعا بيه
164,talbi ghi wald nas ikon mhtaram,,تالبي غي والد ناس إكون مهتارام
165,9ari wla ma9arich machi mohim,,قاري ولا ماقاريش ماشي موهيم
166,l7ayat makatw9af 3la hed,,لحايات ماكاتوقاف علا هد
167,jem3i rassek o diri mosta9balek bra,,جمعي راسّك أُ ديري موستاقبالك برا
168,bghina ndirou chi kharja lbra,,بغينا نديرو شي خارجا لبرا
169,sokti mn sda3 rah 9hrtina,,سوكتي من سداع راه قهرتينا
170,hna ra drna kolchi mn 3andena,,هنا را درنا كولشي من عاندنا
171,kanjibo liha mn 3andena fdar,,كانجيبو ليها من عاندنا فدار
172,ana wsahbti katfawj m3aya fl9a3a,,أنا وساهبتي كاتفاوج معايا فلقاعا
173,kantfakerha kanbghi ndfel 3la rasi,,كانتفاكرها كانبغي ندفل علا راسي
174,l9issm li mchit lih kansabgho ongalss,,لقيسّم لي مشيت ليه كانسابغو أُنڭالسّ
175,mashi hi sekhfa li katchedni,,ماسهي هي سخفا لي كاتشدني
176,chkon likan mcha lmsid mli kan sghir,,شكون ليكان مشا لمسيد ملي كان سغير
177,wld had siyida dak ksida chhal mn mra,,ولد هاد سيييدا داك كسيدا شهال من مرا
178,galou bli kan drab chi mcha,,ڭالو بلي كان دراب شي مشا
179,mo t3dbat m3ah bzaf mli kan sghir,,مو تعدبات معاه بزاف ملي كان سغير
180,mab9ach hdchi khedam,,مابقاش هدشي خدام
181,dekhali lmaw9i3 li9ltlik 3lih,,دخالي لماوقيع ليقلتليك عليه
182,ila kano mhtamin rah ayjwbok,,إلا كانو مهتامين راه أيجوبوك
183,rajli khdmto hadik sowlto lbarh,,راجلي خدمتو هاديك سوولتو لباره
184,gallik rah momkin ythl w yb9a fih kolchi,,ڭالّيك راه مومكين يتهل و يبقا فيه كولشي
185,imta aydowzo o wach ba9i tssjal?,,إمتا أيدووزو أُ واش باقي تسّجال?
186,ana tsjlt l3am lifat majawbni hed,,أنا تسجلت لعام ليفات ماجاوبني هد
187,tamrid outa3lim makhdaminch fihom,,تامريد وتاعليم ماخدامينش فيهوم
188,kayn bhalha 3ande mama,,كاين بهالها عاند ماما
189,knt likantayab fiha l msaman,,كنت ليكانتاياب فيها ل مسامان
190,jablia lah bhal la krmato maerftch mejbnich tyab do f msaman,,جابليا الله بهال لا كرماتو مارفتش مجبنيش تياب دو ف مسامان
191,kaynin bzaf dl fananin fihom soumna,,كاينين بزاف دل فانانين فيهوم سومنا
192,kaydirou vidiohat ohoma kayaklou,,كايديرو ڤيديوهات أُهوما كاياكلو
193,nsaw bli maymknch trdi nas,,نساو بلي مايمكنش تردي ناس
194,makhasnach nhtmou bray2 nas,,ماخاسناش نهتمو برايء ناس
195,ghadi ikhtbha mn khouha lirbaha,,غادي إختبها من خوها ليرباها
196,dart 3amaliya lrjliha,,دارت عامالييا لرجليها
197,kolchi mcha lsbitar,,كولشي مشا لسبيتار
198,lmoutaham khatir,,لموتاهام خاتير
199,kolchi kay3rfou mn chhal hadi,,كولشي كايعرفو من شهال هادي
200,houwa moujrim ma3rof,,هووا موجريم ماعروف
201,mabinathoum hta haja,,مابيناتهوم هتا حاجة
202,kol nhar kaydrab zalzal fhad lblasa,,كول نهار كايدراب زالزال فهاد لبلاسا
203,imta ghatkharji lbra,,إمتا غاتخارجي لبرا
204,ana ghada msafra,,أنا غادا مسافرا
205,had lblad ma3arfa fih hta wahad,,هاد لبلاد ماعارفا فيه هتا واهاد
206,ana ghanbda mn zero fhad lblad,,أنا غانبدا من زرو فهاد لبلاد
207,ana ghankhdem oughandir mosta9bali,,أنا غانخدم وغاندير موستاقبالي
208,libgha chihaja kaywsal liha,,ليبغا شيحاجة كايوسال ليها
209,ba3d lmarat kanstaslmou,,باعد لمارات كانستاسلمو
210,kayw93o masa3ib fhyatna,,كايوقعو ماساعيب فهياتنا
211,ma3amarna makhasna nstaslmou l ayi mochkil,,ماعامارنا ماخاسنا نستاسلمو ل أيي موشكيل
212,khasna nkmlou fhyatna kifma bghat tkoun,,خاسنا نكملو فهياتنا كيفما بغات تكون
213,kolchi khayaf mn had lmoujrim,,كولشي خاياف من هاد لموجريم
214,ajit bach nhdar me3ak 3la lmchro3 dyalna,,أجيت باش نهدار معاك علا لمشروع ديالنا
215,kadhak li fojhi okathdar mora dahri,,كادهاك لي فوجهي أُكاتهدار مورا داهري
216,bach 3erftiha,,باش عرفتيها
217,kolchi kaywssalni tal 3ndi,,كولشي كايوسّالني تال عندي
218,o achno adir ?,,أُ أشنو أدير ?
219,atb9a ghi tefraj fiya ?,,أتبقا غي تفراج فييا ?
220,waaa te7arak dir chi haja,,واا تحاراك دير شي حاجة
221,ach andir fhad l7rira ?,,أش أندير فهاد لحريرا ?
222,kol wahd idir li mslko,,كول واهد إدير لي مسلكو
223,machi me3e9ol,,ماشي معقول
224,wach hadi dark ?,,واش هادي دارك ?
225,ah dari 3ad chritha min 3emi,,أه داري عاد شريتها مين عمي
226,zwina wakha sghira 3ejbatni,,زوينا واخا سغيرا عجباتني
227,mal9iti hta chi mochkil flora9,,مالقيتي هتا شي موشكيل فلوراق
228,la kochi daz howa hadak,,لا كوشي داز هووا هاداك
229,iwa mzyan be3da mat3dbtichi,,إوا مزيان بعدا ماتعدبتيشي
230,bghit nakhd 7a9i min lwart,,بغيت ناخد حاقي مين لوارت
231,ghadi chakhdo ghi sbar chwiya,,غادي شاخدو غي سبار شوييا
232,3bar 3lik hadak howa li jablik tmam,,عبار عليك هاداك هووا لي جابليك تمام
233,ti9a fnfas bla 7odod,,تيقا فنفاس بلا حودود
234,metaf9in zin makayn,,متافقين زين ماكاين
235,howa l9alb lkbir li bghitha ijibha lik,,هووا لقالب لكبير لي بغيتها إجيبها ليك
236,nti makathdri ga3,,نتي ماكاتهدري ڭاع
237,tgoli galssa me3a lbrani,,تڭولي ڭالسّا معا لبراني
238,wach besah hadchi dikrayat ?,,واش بساه هادشي ديكرايات ?
239,kaywosloni khebaro kamlin,,كايووسلوني خبارو كاملين
240,nodi nekharjo lsou9,,نودي نخارجو لسوق
241,ach andiro fih kolchi ghali,,أش أنديرو فيه كولشي غالي
242,3arfa hta ana ma3ndich lflos,,عارفا هتا أنا ماعنديش لفلوس
243,bghit ghi ndor nchof ljadid,,بغيت غي ندور نشوف لجاديد
244,minha nkharjo nbdlo ljaw chwiya,,مينها نخارجو نبدلو لجاو شوييا
245,la la ana 3eyana bezaf,,لا لا أنا عيانا بزاف
246,ghi khlini galssa f dar,,غي خليني ڭالسّا ف دار
247,sf wakha li bghiti akhti,,سف واخا لي بغيتي أختي
248,dak lkhroj tal3 li f rassi,,داك لخروج تالع لي ف راسّي
249,ana benadm li tal3 li f rassi,,أنا بنادم لي تالع لي ف راسّي
250,sakti bla mat7am9ini b hbalk,,ساكتي بلا ماتحامقيني ب هبالك
251,kayn chi ftour,,كاين شي فتور
252,mada9o khayb,,ماداقو خايب
253,chaft aslan lmad dlmdina kidayr,,شافت أسلان لماد دلمدينا كيداير
254,dak l vedio siftato banti,,داك ل ڤديو سيفتاتو بانتي
255,kanakal ontfraj f telephon,,كاناكال أُنتفراج ف تلپهون
256,msakan mazal kaybato fzan9a,,مساكان مازال كايباتو فزانقا
257,man3in 3lihom ibato f dyorhom,,مانعين عليهوم إباتو ف ديورهوم
258,tekarfsna f tri9,,تكارفسنا ف تريق
259,lbo3d o lharara makanbghihomch,,لبوعد أُ لهارارا ماكانبغيهومش
260,ntoma darb 3ndkom zarzal ?,,نتوما دارب عندكوم زارزال ?
261,la hna fblassa be3ida 3la lbo2ra,,لا هنا فبلاسّا بعيدا علا لبوءرا
262,ibnoun mamktabach lik,,إبنون مامكتاباش ليك
263,darori min sbar 7ta twalfi lblassa,,داروري مين سبار حتا توالفي لبلاسّا
264,wakha jiti f blassa be3ida zwina,,واخا جيتي ف بلاسّا بعيدا زوينا
265,fiha maytchaf manadir zwina,,فيها مايتشاف مانادير زوينا
266,fin jat had lblassa ?,,فين جات هاد لبلاسّا ?
267,wa3ra ne9iya saraha hsan min hadik l9dima likant 3endak,,واعرا نقييا ساراها هسان مين هاديك لقديما ليكانت عنداك
268,khasak tkon insan mazyn bach takdar tkamal,,خاساك تكون إنسان مازين باش تاكدار تكامال
269,hadchi ghir lbidaya,,هادشي غير لبيدايا
270,mazal kayn bazaf dyal lhajat zwina,,مازال كاين بازاف ديال لحاجةت زوينا
271,f lhayat makynch chi haja mitaliya,,ف لهايات ماكينش شي حاجة ميتالييا
272,dima khasak tfakar f rask,,ديما خاساك تفاكار ف راسك
273,dima khasak tkon insan motafail,,ديما خاساك تكون إنسان موتافايل
274,lmohim darti li 3lik,,لموهيم دارتي لي عليك
275,kolchi m3a lwa9t ghadi yat9ad,,كولشي معا لواقت غادي ياتقاد
276,khasak tansa wat3raf tkamal,,خاساك تانسا واتعراف تكامال
277,bach ta9dr tastamar,,باش تاقدر تاستامار
278,yamkan ta3ya wati7,,يامكان تاعيا واتيح
279,walakin ghadi tnod,,والاكين غادي تنود
280,wta3rf tkon wahad jdid,,وتاعرف تكون واهاد جديد
281,kayn bazaf maydar,,كاين بازاف مايدار
282,wbazaff dyal lhajat zwina,,وبازافّ ديال لحاجةت زوينا
283,khasak ghir ta3rf kifach dir tsaraf,,خاساك غير تاعرف كيفاش دير تساراف
284,machi mochkil yaw9a3 hadchi,,ماشي موشكيل ياوقاع هادشي
285,lmochkil howa mat3rfch tnod mn ba3d,,لموشكيل هووا ماتعرفش تنود من باعد
286,ghadi tjik wa9t ghadi t9ol hadi nihaya,,غادي تجيك واقت غادي تقول هادي نيهايا
287,min ba3d ghadi ykon kolchi ghir mar7ala,,مين باعد غادي يكون كولشي غير مارحالا
288,lmachakil ghadi taw9a3,,لماشاكيل غادي تاوقاع
289,wghadi tkon hadi hia danya,,وغادي تكون هادي هيا دانيا
290,khasak tkon 9wi bach ta3rf tjawz,,خاساك تكون قوي باش تاعرف تجاوز
291,hadchi machi ghir hadra,,هادشي ماشي غير هادرا
292,kolchi momkin f lahda issali,,كولشي مومكين ف لاهدا إسّالي
293,b7al hta haja maknt,,بحال هتا حاجة ماكنت
294,ghadi tansa ghadi tnod tkaml 3la khedamtak,,غادي تانسا غادي تنود تكامل علا خدامتاك
295,ma3rftch kifach n9olik kanbghik,,ماعرفتش كيفاش نقوليك كانبغيك
296,walakin ghadi n7awl nwaslha lik,,والاكين غادي نحاول نواسلها ليك
297,ghadi nab9a n7awl wn7awl hta ta3rf,,غادي نابقا نحاول ونحاول هتا تاعرف
298,ach kayn f 9albi,,أش كاين ف قالبي
299,mat9albch 3la lmitalia,,ماتقالبش علا لميتاليا
300,hit 3amrk ghadi tal9aha,,هيت عامرك غادي تالقاها
301,khasak ta9lb 3la rsak,,خاساك تاقلب علا رساك
302,mn ghir hadchi makyn walo,,من غير هادشي ماكين والو
303,matkonch m9ala9,,ماتكونش مقالاق
304,thadan wkolchi yfout,,تهادان وكولشي يفوت
305,lhadra machi hia kolchi,,لهادرا ماشي هيا كولشي
306,lhadra machi hia li ghadi twassik,,لهادرا ماشي هيا لي غادي تواسّيك
307,had nhar ghadi nhadro,,هاد نهار غادي نهادرو
308,momkin nhadro mazyn,,مومكين نهادرو مازين
309,chadi waldk 3lia,,شادي والدك عليا
310,ana 3arfa ach kayn,,أنا عارفا أش كاين
311,bla mat9ol lia walo,,بلا ماتقول ليا والو
312,hadchi machi chghalk,,هادشي ماشي شغالك
313,ta3alm dkhol so9 rask,,تاعالم دخول سوق راسك
314,hayati machi hayat,,هاياتي ماشي هايات
315,ghir skot li b7alk makhasoch yhdr,,غير سكوت لي بحالك ماخاسوش يهدر
316,darna labas w3rfna nkamlo,,دارنا لاباس وعرفنا نكاملو
317,nta wahd ma m3ak hadra,,نتا واهد ما معاك هادرا
318,fik haja khayba,,فيك حاجة خايبا
319,machi haka khasha tkon,,ماشي هاكا خاسها تكون
320,sir berd 3la rask,,سير برد علا راسك
321,nji 3andk nti,,نجي عاندك نتي
322,zin lghalat lidreti houwa mahdretich 3la h9ek,,زين لغالات ليدرتي هووا ماهدرتيش علا هقك
323,matkhrjich mn tma hta tl9aw l7al .,,ماتخرجيش من تما هتا تلقاو لحال .
324,nti sekti wakha biyntilha bli ma3jbkch l7al,,نتي سكتي واخا بيينتيلها بلي ماعجبكش لحال
325,kan 3lik twajhiha goli liha hadi machi khdma,,كان عليك تواجهيها ڭولي ليها هادي ماشي خدما
326,radzeyriha wmarat9dch 3la chouha,,رادزيريها وماراتقدش علا شوها
327,ratl9a lik l7el,,راتلقا ليك لحل
328,matbkich wtf9ssi rassk .,,ماتبكيش وتفقسّي راسّك .
329,hdri 3la h9ek wt3awdlk lkhedma.,,هدري علا هقك وتعاودلك لخدما.
330,whta yla madartch m3ak l7el,,وهتا يلا مادارتش معاك لحل
331,ratkouni fchiti fiha 9elbk .,,راتكوني فشيتي فيها قلبك .
332,machi hiya tched lflouss wnti tkhrji bakya,,ماشي هييا تشد لفلوسّ ونتي تخرجي باكيا
333,ana makan3rfk nti makan3rfha hiya,,أنا ماكانعرفك نتي ماكانعرفها هييا
334,lakin hdartak jatni me3e9ola,,لاكين هدارتاك جاتني معقولا
335,ila kan hadchi tra lik m3ahom bjouj,,إلا كان هادشي ترا ليك معاهوم بجوج
336,wrina lkhdma dylhom,,ورينا لخدما ديلهوم
337,bach nty9ouk,,باش نتيقوك
338,awili 3la choha,,أويلي علا شوها
339,aji ahbiba n3awdo lik 3ndi 3la 7sabi,,أجي أهبيبا نعاودو ليك عندي علا حسابي
