id,darija,eng,darija_ar
90.0,houwa makaykhasarch liha,The doctor prescribed her some medication.,هووا ماكايخاسارش ليها
91.0,reh zwaj hada machi l3b drari,He's suffering from severe eczema.,ره زواج هادا ماشي لعب دراري
92.0,ana jatni wahd lforsa nmchi 3la bra,She made a natural remedy for him.,أنا جاتني واهد لفورسا نمشي علا برا
93.0,ana 3andi iltizamat fhad lblad,The remedy made his skin better.,أنا عاندي إلتيزامات فهاد لبلاد
94.0,khdit cridiyat mn lbanca,She's studying to become a dermatologist.,خديت كريدييات من لبانكا
95.0,bghit ndir ma2wa ldrari limtchardin,He's worried about his hair loss.,بغيت ندير ماءوا لدراري ليمتشاردين
96.0,hatit fiha tqriban kol flosi,She recommended a hair growth serum.,هاتيت فيها تقريبان كول فلوسي
97.0,ja wahd siyed baghi khtebni,The serum was very effective.,جا واهد سييد باغي ختبني
98.0,knt kn3arfo ch7al hada howa 3aych fbra,He's going bald at a young age.,كنت كنعارفو شحال هادا هووا عايش فبرا
99.0,gali bli y3tini ga3 flous li khsert,She's coloring her hair blue.,ڭالي بلي يعتيني ڭاع فلوس لي خسرت
100.0,baghi tzwj biya dwa m3a mama,He got a tattoo on his arm.,باغي تزوج بييا دوا معا ماما
101.0,howa ando wliyed mn marto lowla,,هووا أندو ولييد من مارتو لوولا
102.0,dek deri ana nrbih,,دك دري أنا نربيه
103.0,mchat khlat lih deri fdar,,مشات خلات ليه دري فدار
104.0,howa galia kayb9a flblad,,هووا ڭاليا كايبقا فلبلاد
105.0,gali nmchi ndf3 lik wraq bch khrjo lik,,ڭالي نمشي ندفع ليك وراق بش خرجو ليك
106.0,howa ghayhmaq elia,,هووا غايهماق إليا
107.0,galia flous ghanrdhom lik,,ڭاليا فلوس غانردهوم ليك
108.0,nhar khotba njib liha chic,,نهار خوتبا نجيب ليها شيك
109.0,kitlob fia ana ma3rft achghanndir,,كيتلوب فيا أنا ماعرفت أشغانّدير
110.0,ana 7ayra fhad lmawdo3,,أنا حايرا فهاد لماودوع
111.0,wech nkhtar nmchi lbra wla nkhtar siyed,,وش نختار نمشي لبرا ولا نختار سييد
112.0,ahsan tajriba dwazt hya dyal l ista,,أهسان تاجريبا دوازت هيا ديال ل إستا
113.0,hya li t3lamt fiha o fhamt,,هيا لي تعلامت فيها أُ فهامت
114.0,nta o jahdk o kat9atl hit mkhlas,,نتا أُ جاهدك أُ كاتقاتل هيت مخلاس
115.0,ila maknti sbar matkmalch,,إلا ماكنتي سبار ماتكمالش
116.0,khti rah hna knt3dbo,,ختي راه هنا كنتعدبو
117.0,kn9raw kol nhar lyouma sebt o 9arin,,كنقراو كول نهار ليوما سبت أُ قارين
118.0,kayjib lik khedma b khlas na9es,,كايجيب ليك خدما ب خلاس ناقس
119.0,ma9arish fiha hua li kay7gerha,,ماقاريسه فيها هوا لي كايحڭرها
120.0,mchat l3aama ll9br bach t3awd liha,,مشات لعاما اللقبر باش تعاود ليها
121.0,hsat bli houma likanou khtfou lbnt,,هسات بلي هوما ليكانو ختفو لبنت
122.0,rah khsk tjibi no9ta mzyana flbak,,راه خسك تجيبي نوقتا مزيانا فلباك
123.0,nas jabo no9ta flbak omkyt9bloch fiha,,ناس جابو نوقتا فلباك أُمكيتقبلوش فيها
124.0,maymknch t9arni liya joj hwayj,,مايمكنش تقارني لييا جوج حوايج
125.0,wlina b7al l mouss madin,,ولينا بحال ل موسّ مادين
126.0,ila braha yji andha l mdintha,,إلا براها يجي أندها ل مدينتها
127.0,hia madeplaca 3la wad hed,,هيا مادپلاكا علا واد هد
128.0,howa ja okharjat 3ando,,هووا جا أُخارجات عاندو
129.0,tzewji li kaybghik bssah,,تزوجي لي كايبغيك بسّاه
130.0,diima kaydir lik hssab okaykhaf t9el9i,,ديّما كايدير ليك هسّاب أُكايخاف تقلقي
131.0,khayaf chi haja derenjik,,خاياف شي حاجة درنجيك
132.0,tzwji zwaj zwin gher t3rfi m3amen,,تزوجي زواج زوين غر تعرفي معامن
133.0,dima tkon 3ndk chakhsiya 9wiya,,ديما تكون عندك شاخسييا قوييا
134.0,momkin che hed iyakhod mnha haja,,مومكين ش هد إياخود منها حاجة
135.0,la matrj3ch lik flosk,,لا ماترجعش ليك فلوسك
136.0,khashoum i3arfou fin mchat,,خاسهوم إعارفو فين مشات
137.0,houma khashoum ichofo lcamirat,,هوما خاسهوم إشوفو لكاميرات
138.0,ghayshofo fin dazet bash yraj3o kolchi,,غايسهوفو فين دازت باسه يراجعو كولشي
139.0,houma chfrou lbanca bla may3raf hta hed,,هوما شفرو لبانكا بلا مايعراف هتا هد
140.0,dkhlou ouhouma dayrin mask,,دخلو وهوما دايرين ماسك
141.0,lahou mousayil domo3 flbanca,,لاهو موساييل دوموع فلبانكا
142.0,mnin 3refti rah telfat lik,,منين عرفتي راه تلفات ليك
143.0,matla9aw hta sabab likhlihoum isr9o,,ماتلاقاو هتا ساباب ليخليهوم إسرقو
144.0,houma walidihoum labas 3lihoum,,هوما واليديهوم لاباس عليهوم
145.0,mwafrin lwlashoum kolchi,,موافرين لولاسهوم كولشي
146.0,dar 3amra khedama,,دار عامرا خداما
147.0,achnou likhlihom ichfrou bla khawf,,أشنو ليخليهوم إشفرو بلا خاوف
148.0,houma rah 3isaba,,هوما راه عيسابا
149.0,sahbhoum khatir fti9niyat,,ساهبهوم خاتير فتيقنييات
150.0,mabghach islm mo lbolic,,مابغاش إسلم مو لبوليك
151.0,ma9drch ifrt fiha,,ماقدرش إفرت فيها
152.0,rahom khtbohom mohandisin,,راهوم ختبوهوم موهانديسين
153.0,ma galso m3ahom hta chhar harbo,,ما ڭالسو معاهوم هتا شهار هاربو
154.0,b9at f l3achra ousbar,,بقات ف لعاشرا وسبار
155.0,wach ntoma mzawjin ?,,واش نتوما مزاوجين ?
156.0,diro 3aila tkon mhtarma,,ديرو عايلا تكون مهتارما
157.0,ghaat9raw fdar mn ghda,,غاتقراو فدار من غدا
158.0,ila makanch ma9arich machi mouchkil,,إلا ماكانش ماقاريش ماشي موشكيل
159.0,houwa wa3i oukay3raf ihdar,,هووا واعي وكايعراف إهدار
160.0,bzaf dnas kaukono 9aryin bdon wa3y,,بزاف دناس كوكونو قاريين بدون واعي
161.0,kanti katchofi fih chofa na9sa,,كانتي كاتشوفي فيه شوفا ناقسا
162.0,ghi ba3di mno mayslahch lik,,غي باعدي منو مايسلاهش ليك
163.0,ila ditih khaski tkoni m9tan3aa bih,,إلا ديتيه خاسكي تكوني مقتانعا بيه
164.0,talbi ghi wald nas ikon mhtaram,,تالبي غي والد ناس إكون مهتارام
165.0,9ari wla ma9arich machi mohim,,قاري ولا ماقاريش ماشي موهيم
166.0,l7ayat makatw9af 3la hed,,لحايات ماكاتوقاف علا هد
167.0,jem3i rassek o diri mosta9balek bra,,جمعي راسّك أُ ديري موستاقبالك برا
168.0,bghina ndirou chi kharja lbra,,بغينا نديرو شي خارجا لبرا
169.0,sokti mn sda3 rah 9hrtina,,سوكتي من سداع راه قهرتينا
170.0,hna ra drna kolchi mn 3andena,,هنا را درنا كولشي من عاندنا
171.0,kanjibo liha mn 3andena fdar,,كانجيبو ليها من عاندنا فدار
172.0,ana wsahbti katfawj m3aya fl9a3a,,أنا وساهبتي كاتفاوج معايا فلقاعا
173.0,kantfakerha kanbghi ndfel 3la rasi,,كانتفاكرها كانبغي ندفل علا راسي
174.0,l9issm li mchit lih kansabgho ongalss,,لقيسّم لي مشيت ليه كانسابغو أُنڭالسّ
175.0,mashi hi sekhfa li katchedni,,ماسهي هي سخفا لي كاتشدني
176.0,chkon likan mcha lmsid mli kan sghir,,شكون ليكان مشا لمسيد ملي كان سغير
177.0,wld had siyida dak ksida chhal mn mra,,ولد هاد سيييدا داك كسيدا شهال من مرا
178.0,galou bli kan drab chi mcha,,ڭالو بلي كان دراب شي مشا
179.0,mo t3dbat m3ah bzaf mli kan sghir,,مو تعدبات معاه بزاف ملي كان سغير
180.0,mab9ach hdchi khedam,,مابقاش هدشي خدام
181.0,dekhali lmaw9i3 li9ltlik 3lih,,دخالي لماوقيع ليقلتليك عليه
182.0,ila kano mhtamin rah ayjwbok,,إلا كانو مهتامين راه أيجوبوك
183.0,rajli khdmto hadik sowlto lbarh,,راجلي خدمتو هاديك سوولتو لباره
184.0,gallik rah momkin ythl w yb9a fih kolchi,,ڭالّيك راه مومكين يتهل و يبقا فيه كولشي
185.0,imta aydowzo o wach ba9i tssjal?,,إمتا أيدووزو أُ واش باقي تسّجال?
186.0,ana tsjlt l3am lifat majawbni hed,,أنا تسجلت لعام ليفات ماجاوبني هد
187.0,tamrid outa3lim makhdaminch fihom,,تامريد وتاعليم ماخدامينش فيهوم
188.0,kayn bhalha 3ande mama,,كاين بهالها عاند ماما
189.0,knt likantayab fiha l msaman,,كنت ليكانتاياب فيها ل مسامان
190.0,jablia lah bhal la krmato maerftch mejbnich tyab do f msaman,,جابليا الله بهال لا كرماتو مارفتش مجبنيش تياب دو ف مسامان
191.0,kaynin bzaf dl fananin fihom soumna,,كاينين بزاف دل فانانين فيهوم سومنا
192.0,kaydirou vidiohat ohoma kayaklou,,كايديرو ڤيديوهات أُهوما كاياكلو
193.0,nsaw bli maymknch trdi nas,,نساو بلي مايمكنش تردي ناس
194.0,makhasnach nhtmou bray2 nas,,ماخاسناش نهتمو برايء ناس
195.0,ghadi ikhtbha mn khouha lirbaha,,غادي إختبها من خوها ليرباها
196.0,dart 3amaliya lrjliha,,دارت عامالييا لرجليها
197.0,kolchi mcha lsbitar,,كولشي مشا لسبيتار
198.0,lmoutaham khatir,,لموتاهام خاتير
199.0,kolchi kay3rfou mn chhal hadi,,كولشي كايعرفو من شهال هادي
200.0,houwa moujrim ma3rof,,هووا موجريم ماعروف
201.0,mabinathoum hta haja,,مابيناتهوم هتا حاجة
202.0,kol nhar kaydrab zalzal fhad lblasa,,كول نهار كايدراب زالزال فهاد لبلاسا
203.0,imta ghatkharji lbra,,إمتا غاتخارجي لبرا
204.0,ana ghada msafra,,أنا غادا مسافرا
205.0,had lblad ma3arfa fih hta wahad,,هاد لبلاد ماعارفا فيه هتا واهاد
206.0,ana ghanbda mn zero fhad lblad,,أنا غانبدا من زرو فهاد لبلاد
207.0,ana ghankhdem oughandir mosta9bali,,أنا غانخدم وغاندير موستاقبالي
208.0,libgha chihaja kaywsal liha,,ليبغا شيحاجة كايوسال ليها
209.0,ba3d lmarat kanstaslmou,,باعد لمارات كانستاسلمو
210.0,kayw93o masa3ib fhyatna,,كايوقعو ماساعيب فهياتنا
211.0,ma3amarna makhasna nstaslmou l ayi mochkil,,ماعامارنا ماخاسنا نستاسلمو ل أيي موشكيل
212.0,khasna nkmlou fhyatna kifma bghat tkoun,,خاسنا نكملو فهياتنا كيفما بغات تكون
213.0,kolchi khayaf mn had lmoujrim,,كولشي خاياف من هاد لموجريم
214.0,ajit bach nhdar me3ak 3la lmchro3 dyalna,,أجيت باش نهدار معاك علا لمشروع ديالنا
215.0,kadhak li fojhi okathdar mora dahri,,كادهاك لي فوجهي أُكاتهدار مورا داهري
216.0,bach 3erftiha,,باش عرفتيها
217.0,kolchi kaywssalni tal 3ndi,,كولشي كايوسّالني تال عندي
218.0,o achno adir ?,,أُ أشنو أدير ?
219.0,atb9a ghi tefraj fiya ?,,أتبقا غي تفراج فييا ?
220.0,waaa te7arak dir chi haja,,واا تحاراك دير شي حاجة
221.0,ach andir fhad l7rira ?,,أش أندير فهاد لحريرا ?
222.0,kol wahd idir li mslko,,كول واهد إدير لي مسلكو
223.0,machi me3e9ol,,ماشي معقول
224.0,wach hadi dark ?,,واش هادي دارك ?
225.0,ah dari 3ad chritha min 3emi,,أه داري عاد شريتها مين عمي
226.0,zwina wakha sghira 3ejbatni,,زوينا واخا سغيرا عجباتني
227.0,mal9iti hta chi mochkil flora9,,مالقيتي هتا شي موشكيل فلوراق
228.0,la kochi daz howa hadak,,لا كوشي داز هووا هاداك
229.0,iwa mzyan be3da mat3dbtichi,,إوا مزيان بعدا ماتعدبتيشي
230.0,bghit nakhd 7a9i min lwart,,بغيت ناخد حاقي مين لوارت
231.0,ghadi chakhdo ghi sbar chwiya,,غادي شاخدو غي سبار شوييا
232.0,3bar 3lik hadak howa li jablik tmam,,عبار عليك هاداك هووا لي جابليك تمام
233.0,ti9a fnfas bla 7odod,,تيقا فنفاس بلا حودود
234.0,metaf9in zin makayn,,متافقين زين ماكاين
235.0,howa l9alb lkbir li bghitha ijibha lik,,هووا لقالب لكبير لي بغيتها إجيبها ليك
236.0,nti makathdri ga3,,نتي ماكاتهدري ڭاع
237.0,tgoli galssa me3a lbrani,,تڭولي ڭالسّا معا لبراني
238.0,wach besah hadchi dikrayat ?,,واش بساه هادشي ديكرايات ?
239.0,kaywosloni khebaro kamlin,,كايووسلوني خبارو كاملين
240.0,nodi nekharjo lsou9,,نودي نخارجو لسوق
241.0,ach andiro fih kolchi ghali,,أش أنديرو فيه كولشي غالي
242.0,3arfa hta ana ma3ndich lflos,,عارفا هتا أنا ماعنديش لفلوس
243.0,bghit ghi ndor nchof ljadid,,بغيت غي ندور نشوف لجاديد
244.0,minha nkharjo nbdlo ljaw chwiya,,مينها نخارجو نبدلو لجاو شوييا
245.0,la la ana 3eyana bezaf,,لا لا أنا عيانا بزاف
246.0,ghi khlini galssa f dar,,غي خليني ڭالسّا ف دار
247.0,sf wakha li bghiti akhti,,سف واخا لي بغيتي أختي
248.0,dak lkhroj tal3 li f rassi,,داك لخروج تالع لي ف راسّي
249.0,ana benadm li tal3 li f rassi,,أنا بنادم لي تالع لي ف راسّي
250.0,sakti bla mat7am9ini b hbalk,,ساكتي بلا ماتحامقيني ب هبالك
251.0,kayn chi ftour,,كاين شي فتور
252.0,mada9o khayb,,ماداقو خايب
253.0,chaft aslan lmad dlmdina kidayr,,شافت أسلان لماد دلمدينا كيداير
254.0,dak l vedio siftato banti,,داك ل ڤديو سيفتاتو بانتي
255.0,kanakal ontfraj f telephon,,كاناكال أُنتفراج ف تلپهون
256.0,msakan mazal kaybato fzan9a,,مساكان مازال كايباتو فزانقا
257.0,man3in 3lihom ibato f dyorhom,,مانعين عليهوم إباتو ف ديورهوم
258.0,tekarfsna f tri9,,تكارفسنا ف تريق
259.0,lbo3d o lharara makanbghihomch,,لبوعد أُ لهارارا ماكانبغيهومش
260.0,ntoma darb 3ndkom zarzal ?,,نتوما دارب عندكوم زارزال ?
261.0,la hna fblassa be3ida 3la lbo2ra,,لا هنا فبلاسّا بعيدا علا لبوءرا
262.0,ibnoun mamktabach lik,,إبنون مامكتاباش ليك
263.0,darori min sbar 7ta twalfi lblassa,,داروري مين سبار حتا توالفي لبلاسّا
264.0,wakha jiti f blassa be3ida zwina,,واخا جيتي ف بلاسّا بعيدا زوينا
265.0,fiha maytchaf manadir zwina,,فيها مايتشاف مانادير زوينا
266.0,fin jat had lblassa ?,,فين جات هاد لبلاسّا ?
267.0,wa3ra ne9iya saraha hsan min hadik l9dima likant 3endak,,واعرا نقييا ساراها هسان مين هاديك لقديما ليكانت عنداك
268.0,khasak tkon insan mazyn bach takdar tkamal,,خاساك تكون إنسان مازين باش تاكدار تكامال
269.0,hadchi ghir lbidaya,,هادشي غير لبيدايا
270.0,mazal kayn bazaf dyal lhajat zwina,,مازال كاين بازاف ديال لحاجةت زوينا
271.0,f lhayat makynch chi haja mitaliya,,ف لهايات ماكينش شي حاجة ميتالييا
272.0,dima khasak tfakar f rask,,ديما خاساك تفاكار ف راسك
273.0,dima khasak tkon insan motafail,,ديما خاساك تكون إنسان موتافايل
274.0,lmohim darti li 3lik,,لموهيم دارتي لي عليك
275.0,kolchi m3a lwa9t ghadi yat9ad,,كولشي معا لواقت غادي ياتقاد
276.0,khasak tansa wat3raf tkamal,,خاساك تانسا واتعراف تكامال
277.0,bach ta9dr tastamar,,باش تاقدر تاستامار
278.0,yamkan ta3ya wati7,,يامكان تاعيا واتيح
279.0,walakin ghadi tnod,,والاكين غادي تنود
280.0,wta3rf tkon wahad jdid,,وتاعرف تكون واهاد جديد
281.0,kayn bazaf maydar,,كاين بازاف مايدار
282.0,wbazaff dyal lhajat zwina,,وبازافّ ديال لحاجةت زوينا
283.0,khasak ghir ta3rf kifach dir tsaraf,,خاساك غير تاعرف كيفاش دير تساراف
284.0,machi mochkil yaw9a3 hadchi,,ماشي موشكيل ياوقاع هادشي
285.0,lmochkil howa mat3rfch tnod mn ba3d,,لموشكيل هووا ماتعرفش تنود من باعد
286.0,ghadi tjik wa9t ghadi t9ol hadi nihaya,,غادي تجيك واقت غادي تقول هادي نيهايا
287.0,min ba3d ghadi ykon kolchi ghir mar7ala,,مين باعد غادي يكون كولشي غير مارحالا
288.0,lmachakil ghadi taw9a3,,لماشاكيل غادي تاوقاع
289.0,wghadi tkon hadi hia danya,,وغادي تكون هادي هيا دانيا
290.0,khasak tkon 9wi bach ta3rf tjawz,,خاساك تكون قوي باش تاعرف تجاوز
291.0,hadchi machi ghir hadra,,هادشي ماشي غير هادرا
292.0,kolchi momkin f lahda issali,,كولشي مومكين ف لاهدا إسّالي
293.0,b7al hta haja maknt,,بحال هتا حاجة ماكنت
294.0,ghadi tansa ghadi tnod tkaml 3la khedamtak,,غادي تانسا غادي تنود تكامل علا خدامتاك
295.0,ma3rftch kifach n9olik kanbghik,,ماعرفتش كيفاش نقوليك كانبغيك
296.0,walakin ghadi n7awl nwaslha lik,,والاكين غادي نحاول نواسلها ليك
297.0,ghadi nab9a n7awl wn7awl hta ta3rf,,غادي نابقا نحاول ونحاول هتا تاعرف
298.0,ach kayn f 9albi,,أش كاين ف قالبي
299.0,mat9albch 3la lmitalia,,ماتقالبش علا لميتاليا
300.0,hit 3amrk ghadi tal9aha,,هيت عامرك غادي تالقاها
301.0,khasak ta9lb 3la rsak,,خاساك تاقلب علا رساك
302.0,mn ghir hadchi makyn walo,,من غير هادشي ماكين والو
303.0,matkonch m9ala9,,ماتكونش مقالاق
